1505.29, -0.228646, -0.0390316, 0.733325, 0.878336, 0.435209, -0.197424, 0.0119728, -0.0213209, 0.65426, 0.723967, -0.573142, 0.817431, 0.0497174, -0.0290256
# 1505.29,0.543233,0.759792,-0.35723,-0.228646,0.769247,-0.620899,-0.150809,-0.0390316,-0.336387,-0.192874,-0.921761,0.733325,0,0,0,1,-0.00275825,0.00492902,-0.0025827,-5.01553e-07,2.70168e-07,-3.86795e-09,-1.42843e-12,-1.66463e-11,1.63125e-12,-0.341332,-0.939895,-0.00953749,-0.0213209,-0.934122,0.338073,0.114553,0.65426,-0.104443,0.0480096,-0.993372,0.723967,0,0,0,1,0.0150317,0.0221226,-0.015609,-5.62285e-08,-2.83365e-08,-8.50381e-09,-3.2612e-11,-4.0781e-12,2.31422e-11
1911.05, -0.22967, -0.0371148, 0.732276, 0.878242, 0.435397, -0.197408, 0.0122809, -0.0153995, 0.66293, 0.717848, -0.57491, 0.816201, 0.0496624, -0.0287855
# 1911.05,0.54292,0.759919,-0.357437,-0.22967,0.769616,-0.620558,-0.15033,-0.0371148,-0.336049,-0.193472,-0.921759,0.732276,0,0,0,1,-0.00275526,0.00492336,-0.00258519,-1.44995e-06,6.65851e-07,-1.51116e-07,-4.39584e-12,-5.80678e-11,4.20248e-12,-0.337299,-0.941343,-0.0101134,-0.0153995,-0.935625,0.334023,0.114167,0.66293,-0.104092,0.0479708,-0.99341,0.717848,0,0,0,1,0.0150307,0.0221226,-0.0155862,-1.62143e-07,-1.23987e-07,-1.02274e-08,-1.12371e-10,-1.67696e-11,8.30804e-11
3132.26, -0.232987, -0.0311434, 0.729091, 0.877946, 0.435998, -0.197344, 0.0130924, 0.00292124, 0.68983, 0.698933, -0.580287, 0.812419, 0.0495403, -0.0280773
# 3132.26,0.541922,0.760398,-0.357932,-0.232987,0.770733,-0.619469,-0.149094,-0.0311434,-0.335099,-0.195072,-0.921768,0.729091,0,0,0,1,-0.00275131,0.00490332,-0.0025874,-2.37967e-06,8.9778e-07,-7.40215e-09,3.68551e-11,-1.81878e-10,3.56362e-11,-0.324958,-0.945654,-0.0118742,0.00292124,-0.94009,0.321626,0.113081,0.68983,-0.103116,0.0479093,-0.993515,0.698933,0,0,0,1,0.0150123,0.0221015,-0.0155004,-3.26517e-07,-3.14992e-07,-3.20423e-07,-5.85144e-10,-1.26153e-10,4.37472e-10
3549.44, -0.233927, -0.0293551, 0.72808, 0.877854, 0.436171, -0.197353, 0.0133714, 0.00848508, 0.697952, 0.693237, -0.582044, 0.811173, 0.0494793, -0.0278262
# 3549.44,0.541613,0.760511,-0.358159,-0.233927,0.771067,-0.619152,-0.148683,-0.0293551,-0.33483,-0.195636,-0.921746,0.72808,0,0,0,1,-0.00273551,0.00488192,-0.00258619,-3.82214e-06,1.40027e-06,3.27781e-08,8.46313e-11,-3.82941e-10,8.33159e-11,-0.320901,-0.947031,-0.0124544,0.00848508,-0.941524,0.317553,0.112665,0.697952,-0.102742,0.0478803,-0.993555,0.693237,0,0,0,1,0.0149677,0.0220325,-0.0154298,-5.11281e-07,-5.49161e-07,-8.49341e-07,-1.27561e-09,-2.99954e-10,9.53938e-10
4701.09, -0.237012, -0.0240616, 0.72521, 0.877575, 0.43674, -0.197287, 0.0140923, 0.0248971, 0.722007, 0.676474, -0.587079, 0.807569, 0.0493563, -0.0271216
# 4701.09,0.540672,0.760984,-0.358577,-0.237012,0.772105,-0.618119,-0.147592,-0.0240616,-0.333958,-0.19706,-0.921759,0.72521,0,0,0,1,-0.00272999,0.00482932,-0.00257372,-3.26818e-06,6.89347e-07,1.10122e-07,3.81339e-10,-6.74806e-10,1.90713e-10,-0.309207,-0.95089,-0.014147,0.0248971,-0.945535,0.305805,0.111562,0.722007,-0.101757,0.0478722,-0.993657,0.676474,0,0,0,1,0.0148597,0.0218727,-0.0152461,5.354e-08,-7.44208e-07,-2.04988e-06,-3.02702e-09,-7.76654e-10,2.32029e-09
